depart;arrivee;duree
Gare de La Bastide-St-Laurent;Gare de Langogne;25
Gare de Langogne;Gare de Mende;90
Gare de La Bastide-St-Laurent;Gare de Mende;68
Gare de Millau;Marvejols Place Chayla;75
Gare de Clermont-Ferrand;Gare de Mende;180
Gare de Le Puy-en-Velay;Gare de Marvejols;135
Gare de Mende;Gare de St-Chély-d'Apcher;84
Gare de La Bastide-St-Laurent;Gare de Marvejols;133
Gare de Mende;Marvejols Place Chayla;50
Gare de Carcassonne;Quillan;90
Gare de Carcassonne;Gare de Limoux;55
Gare de Limoux;Quillan;45
Gare de Bédarieux;Gare de Béziers;60
Gare de Guéret;Gare de Montluçon-Ville;66
Gare de Tulle;Gare de Ussel;89
Gare de Egletons;Gare de Tulle;40
Gare de Egletons;Gare de Meymac;25
Gare de Brive-la-Gaillarde;Gare de Egletons;63
Bort-les-Orgues;Gare de Ussel;35
Gare de Nancy-Ville;Mirecourt;74
Martigny-les-B-Thiebaut;Vézelise Beauregard;90
Damblain Eglise;Gare de Nancy-Ville;150
Gare de Contrexéville;Gare de Nancy-Ville;116
Gare de Contrexéville;Mirecourt;39
Gare de Vittel;Mirecourt;26
Gare de Nancy-Ville;Martigny-les-B-Thiebaut;133
Gare de Nancy-Ville;Gare de Vittel;92
Gare de Nancy-Ville;Mirecourt (Lycée Agric);71
Gare de Bening;Gare de Sarreguemines;34
Bitche-Quartier-Driant;Gare de Bening;71
Gare de Charmes (Vosges);Gare de Vittel;60
Gare de Charmes (Vosges);Mirecourt;30
Gare de Charmes (Vosges);Mirecourt (Lycée Agric);33
Igney (Centre);Sarrebourg-LP-Messmer;45
Gare de Sarrebourg;Igney (Centre);39
Gare de Longuyon;Gare de Longwy;32
Gare de Longuyon;Gare de Montmédy;39
Gare de Longuyon;Vezin-Carrefour;33
Gare de Morhange;Gare de Sarrebourg;94
Gare de Sarrebourg;Loudrefing;34
Gare de Morhange;Gare de Rémilly;48
Longuyon (Collège);Vezin-Carrefour;23
Gare de Sarrebourg;St-Jean-de-Bassel-Eglis;35
Gare de Nancy-Ville;Gare de Neufchâteau;62
Fénétrange (Gendarm.);Sarrebourg-Hôpital;42
Loudrefing;Sarrebourg-LP-Messmer;54
Sarrebourg (Place Math);St-Jean-de-Bassel-Eglis;24
Sarrebourg-LP-Messmer;St-Jean-de-Bassel-Eglis;31
Gare de Neufchâteau;Gare de Toul;45
Gare de Toul;Neufchateau-Lp;59
Gare de Nancy-Ville;Neufchateau-Lp;88
Allamps-Esat;Gare de Toul;30
Creutzwald G.R.;Gare de Thionville;110
Fénétrange (Gendarm.);Sarrebourg-LP-Messmer;30
Gare de St-Dié-des-Vosges;Laveline-d-Bruy. Mairie;64
Gare de Epinal;Gare de St-Dié-des-Vosges;65
Bruyères (Vosges);Gare de Epinal;43
Bruyères (Vosges);Gare de St-Dié-des-Vosges;48
Bouzonville;Gare de Thionville;67
Gare de Epinal;Laveline-d-Bruy. Mairie;52
Gare de Thionville;Kédange (Eglise);22
Gare de Thionville;Hombourg (Chapelle);26
Gare de Epinal;Saint-Léonard Centre;94
Corcieux Le Conti;Gare de Epinal;81
Gare de Arches;Gare de St-Dié-des-Vosges;85
Bruyères Chanzy Gare;Gare de Epinal;35
Gare de Arches;Gare de Epinal;20
Bruyères Chanzy Gare;Gare de St-Dié-des-Vosges;48
Gare de Thionville;Perl Gare DB;39
Gare de Sarreguemines;Sarre-Union;52
Herbitzheim R. Hambach;Sarre-Union;25
Gare de Sarreguemines;Sarralbe Centre;33
Loudrefing;Sarrebourg (Place Math);50
Herbitzheim Mairie;Sarre-Union;23
Gare de Sarrebourg;Gare de Sarreguemines;85
Fénétrange (Gendarm.);Sarrebourg-Abri-Phalsbo;33
Gare de Sarreguemines;Sarrebourg (Place Math);116
Berthelming-Mairie;Sarrebourg-Abri-Phalsbo;17
Gare de Metz-Ville;Gare de Nancy-Ville;105
Gare de Saverne;Sarralbe;64
Keskastel;Sarre-Union;11
Gare de Saverne;Sarre-Union;45
Bruyères (Vosges);Saint-Léonard Centre;39
Gare de Bar-le-Duc;Gare de Revigny;21
Gare de Charmes (Vosges);Gare de Epinal;40
Gare de Conflans-Jarny;Gare de Pagny-sur-Moselle;45
Gare de Figeac;Gare de Gramat;52
Gare de Mazamet;Gare de Toulouse-Matabiau;133
Gare de Muret;Gare de Pau;218
Gare de Pau;Gare de Toulouse-Matabiau;253
Gare de Agen;Gare de Castelsarrasin;56
Gare de Longages-Noé;St-Sulpice-sur-Lèze;11
Gare de Montréjeau-Gourdan-Pol.;Luchon-Richelieu;56
Gare de Ax-les-Thermes;Gare de Toulouse-Matabiau;145
Gare de Ax-les-Thermes;Gare de Foix;47
Gare de Ax-les-Thermes;Gare de Pamiers;83
Gare de Montréjeau-Gourdan-Pol.;Luchon;50
Gare de Ax-les-Thermes;Latour de Carol;49
Gare de Foix;Gare de Pamiers;33
Gare de Souillac;Gare de St-Denis-près-Martel;27
Gare de Albi-Ville;Gare de Toulouse-Matabiau;90
Gare de Foix;Gare de Toulouse-Matabiau;139
Comines (France);Gare de Lille Flandres;54
Gare de Lille Flandres;Wambrechies;30
Gare de Abbeville;Gare de Boulogne Ville;104
Gare de Abbeville;Gare de Rue;40
Gare de Lens;Gare de Lille Flandres;80
Gare de Avesnes;Gare de Hirson-Ecoles;55
Gare de Arras;Gare de Douai;40
Gare de Hazebrouck;Gare de Lille Flandres;77
Gare de Busigny;Gare de St Quentin;60
Gare de Calais Fréthun;Gare de Calais Ville;15
Gare de Coutances;Gare de Lison;54
Gare de Granville;Gare de Lison;84
Gare de Coutances;Gare de Granville;36
Gare de Coutances;Gare de Pontorson-Mt-St-Michel;85
Gare de Granville;Vire-Centre;75
Gare de Argentan;Gare de Flers;53
Bagnoles- Orne Egl.Mad.;Gare de Briouze;40
Bagnoles- Orne Egl.Mad.;Gare de Argentan;60
Gare de Alençon;Gare de Surdon;34
Gare de L'Aigle;Gare de Surdon;58
Gare de Dreux;Gare de L'Aigle;79
Gare de Lisieux;Gare de Trouville-Deauville;50
Gare de Dives-Cabourg;Gare de Trouville-Deauville;35
Gare de Caen;Gare de Rouen-Rive-Droite;100
Gare de Evreux;Normandie;50
Gare de Villedieu (Gare);Le Mont St Michel;45
Gare de Granville;Gare de Rennes;110
Gare de Caen;Gare de Rennes;170
Gare de Bréauté-Beuzeville;Gare de Fécamp;30
Gare de Mantes-la-Jolie;Gare de Rouen-Rive-Droite;125
Pont-Audemer-Gare-SNCF;Rouen-Gare-Routière;65
Rouen-Gare-Routière;Routot-Place-de-mairie;50
Bourg-Achard Champ de F;Pont-Audemer-Gare-SNCF;35
Gare de Nantes;Gare de St-Gilles-Croix-de-Vie;104
Gare de Cholet;Gare de Nantes;85
Gare de Cholet;Gare de Clisson;60
Gare de Albert;Gare de Amiens;46
Gare de Beauvais-Gare-SNCF;Gare de Creil;70
Gare de Hirson;Laon-Gare-Routière-Poma;80
Gare de Compiègne;Gare de Ribécourt;28
Gare de Compiègne;Gare de St Quentin;100
Gare de Compiègne;Gare de Tergnier;94
Gare de Chatellerault;Gare de Poitiers;44
Gare de Mauzé;Gare de Niort;40
Gare de Niort;Gare de Prissé-la-Charrière;49
Gare de Bressuire;Gare de Saumur;87
Gare de Bressuire;Gare de Thouars;37
Gare de La Roche-sur-Yon;Gare de Saumur;177
