;Station;City
1854;saleux;saleux
1855;brienon;brienon-sur-armançon
1856;armentières;armentieres
1857;farébersviller;farébersviller
1858;maubeuge;maubeuge
1859;épinay-villetaneuse;epinay-sur-seine
1860;bazeilles;bazeilles
1861;hayange;hayange
1862;ax-les-thermes;ax-les-thermes
1863;roye (somme);roye
1864;st-chamond;saint-chamond
1865;orly-ville;orly
1866;les églisottes;les églisottes-et-chalaures
1867;vougeot-gilly-lès-cîteaux;gilly-lès-cîteaux
1868;ingrandes-sur-loire;ingrandes
1869;lisieux;lisieux
1870;charmant;charmant
1871;bagnols-chadenet;chadenet
1872;tgv haute-picardie;ablaincourt-pressoir
1873;caffiers;caffiers
1874;villeneuve-la-guyard;villeneuve-la-guyard
1875;neuville-sur-sarthe;neuville-sur-sarthe
1876;dinan;dinan
1877;commercy;commercy
1878;carnoules;carnoules
1879;st-rambert-en-bugey;saint-rambert-en-bugey
1880;hymont-mattaincourt;hymont
1881;le lioran;laveissière
1882;kalhausen;kalhausen
1883;pontcharra-sur-breda-allevard;pontcharra
1884;la haye-descartes;descartes
1885;étampes;etampes
1886;gignac-cressensac;gignac
1887;bellegarde;bellegarde-sur-valserine
1888;fréjus;frejus
1889;rognac;rognac
1890;gaillac;gaillac
1891;villetaneuse-université tt;villetaneuse
1892;st-sébastien-frêne-rond;saint-sebastien-sur-loire
1893;montry-condé;montry
1894;viaduc-ste-marie;les houches
1895;guéret;gueret
1896;pontailler-sur-saône;maxilly-sur-saône
1897;montluçon-eau;montlucon
1898;alençon;alencon
1899;jonzac;jonzac
1900;st-étienne-pont-de-l'âne;saint-etienne
1901;vire;vire
1902;javel;paris
1903;asnières-lès-bourges;bourges
1904;noizay;noizay
1905;voves;voves
1906;thiaville;thiaville-sur-meurthe
1907;rémy;remy
1908;boisset;boisset
1909;ranchot;ranchot
1910;st-germain-sur-meuse;saint-germain-sur-meuse
1911;aiguebelette-le-lac;aiguebelette-le-lac
1912;bazancourt;bazancourt
1913;st-vit;saint-vit
1914;le luc-et-le cannet;le cannet-des-maures
